,Body,File name,Subject
1376,lets just keep it at so we dont have to re coordinate things patti young pyoung cliverunnells com pm to tana jones enron com cc subject re thursday im back i just changed my hair appt to next week would you rather meet at or in the a m let me know soon so i can change everyone around should we leave it phyllis is o k with either time original message from tana jones enron com mailto tana jones enron com sent thursday may pm to pyoung cliverunnells com subject re thursday please call carol how about the buffalo grille or is that too busy patti young pyoung cliverun to tana jones enron com nells com cc subject re thursday pm good if you want to get hollie lucinda etc to come please feel free to do so is there any special place you want to go i have been thinking about you as well i have your bicycle and will return it to you when you are ready for it i can bring it on saturday will it fit in your car if not i can drop it by after breakfast might need to come by anyway to see what else you have done to it i will call carol too if you dont care original message from tana jones enron com mailto tana jones enron com sent thursday may pm to pyoung cliverunnells com subject re thursday breakfast at sounds great wherever you want to go also i need to get my bike back from you i might be doing some biking ive been thinking about you hope all is going well patti young pyoung cliverun to tana jones tana jones enron com nells com cc subject thursday pm miss tana is there a chance you might like to try to get together this weekend i thought i would check with you first and then see if phyllis is available i have a hair appointment at a m on saturday we could do breakfast at or whatever let me know patti,11927.,re thursday
1377,member services notice no ms april commodity exchange inc notice of intention to transfer membership notice of intention to transfer membership has been posted on the bulletin board of the exchange by mark cricco mec in connection therewith notification of any claims against the aforementioned individual arising out of transactions executed on the exchange up to the close of business on april must be submitted to the corporate secretarys office within ten days inquiries regarding the above should be directed to the member services department at name change for clearing member firm please be advised that the exchange has been notified that effective april geldermann inc has changed it s name to man international inc furthermore be advised that the exchange has been notified that effective april e d f man international inc has changed it s nam e to man financial inc inquiries regarding the above should be directed to the member services department at please click on the link below to indicate you have received this email http email email log cfm useremail dtana jones enron com refdo c d ms note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,10813.,ms notice of intention to transfer membership
1378,information management weekly milestones report general project status the evolution of this project continues last week s im executive sponsor meeting encouraged the im task force to consider expanding the task force objectives to include developing a plan a nd scope beyond the existing charter plans to gain business unit functional unit support and jeff skilling s support are being considered a recommendation was made to use the time between now and to focus on developing an hp version of the enron portal it was suggested to invest t he time and effort in evolving the current project plan and scope to ensure delivery of a portal envisioned in pricewaterhouse s hp demonstration portal enronanywhere com is the portal name rick buy rick causey and philippe bibi viewed pricewaterhouse s demonstration of hewlitt packards benchmark portal each reacted favorabl y we are scheduled to show cindy olson and beth perlman next week philippe requested a proposal from pwc further philippe requested george wasaff marie hejka and allan sommer put together a cost analysis for this initiative the task force is working in with the click home team suzanne lim brown w ho is leading the click home effort is an official im task force member suzanne presented default page and forced information recommendations for enronanywhere com all task force members are to provide suggestions to suzanne for corrections or changes joe wong s organization has commissioned some internal graphic artists t o develop some alternate portal look and feels for enronanywhere com per philippe bibi both enronanywhere com and click home should have the same look and feel this was presented to the click home team they are in agreement portal development work continues by beth perlman s organization udm ese inktomi is the unstructured data management enterprise search engine tool o f choice sue vasan the udm ese pilot project coordinator and business analyst delivered the udm ese inception document this document defines the busine ss and it objectives for the pilot application and infrastructure support for this pilot has been identified a server has been identified for the pilot a more specific use case study t o thoroughly test the feature functionality of a udm ese tool is being identified beth perlman suggested using hr as the case study for the udm ese tool pilot this due diligence will push back the delivery date of the udm ese pilot im strategy proposal a strategy to engage bu fu support and jeff skilling s support is being planned an off site planning session e g an accelerated solutions environment is being considered additionally whether we build or buy ou r benchmark portal is being considered task force members and executive sponsors all agree tools need to be developed with a strategic focus in mind,2640.,information management weekly milestones report
1379,you got it original message from dasovich jeff sent monday july pm to comnes alan subject re fw state energy advisors fired over conflicts ethics the consultants were involved in buying electricity for california from a generator whose stock they owned setting up a clash of official duties personal interests were always looking for new recruits eh,29298.,re fw state energy advisors fired over conflicts ethics the
1380,april notice number to all comex division members and member firms all nymex division members and member firms from neal wolkoff executive vice president subject proposed amendments to supplement no official list of approved refi ners and brands of the gold and silver futures contracts and supplement no official list of approved assayers and assayer refiners of the platinum and palladium futures contracts the exchange proposes to amend supplement no official list of appro ved refiners and brands of the gold futures contract and supplement no official list of approved refiners and brands of the silver futures contract the proposed amendments change the status of the gold and silver brands produced by golden west refining corporation limited handy harman refining group inc to no longer produced by adding an asterisk next t o the brand the handy harman refining group gold brand and silver brand m ay not be delisted since there are bars of silver and gold bearing this hallma rk on deposit in exchange licensed depositories the exchange proposes to amend supplement no official list of approv ed assayers and assayer refiners of the platinum and palladium futures contracts the proposed amendments delists golden west refining corp ltd handy harman refining group inc as an approved assayer refiner from t he exchange s palladium futures contract and as an approved assayer for the platinum futures contract there are no assay certificates issued by handy harman refining group for platinum or palladium in any exchange licensed depository nor are there any platinum or palladium bars hallmarked by handy harman refining group the proposed amendments must be approved by the commodity futures trading commission cftc before becoming effective the exchange membersh ip will be notified upon receipt of cftc approval and the effective date of the amendments a copy of the proposed amendments can be found at http www nymex com refernce notices ntm htm if you have any questions please contact albert j getz at please click on the link below to indicate you have received this email http email email log cfm useremail dtana jones enron com refdo c d note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,11392.,proposed amendments to supplement no
1381,jeff this is the new harvey hogan paper now a chandley harvey hogan paper it was attached to sdg es comments tim h steve this is another view of the market from another set of heavy hitters all launch it rather than view it alan pm faxwave service faxwave service callwave com on pm please respond to this is a send only email do not reply service replies faxwave com to acomnes enron com cc subject youve got a fax win a digital camera tell your friends about callwave get the details here http www callwave com tellyourfriends shtml r faxemail hey did you know callwave has a great new free service available if youre missing phone calls while surfing the internet or if youve ever tried reaching someone whos online and gotten the dreaded busy signal check out the internet answering machine at http www callwave com r fwemail heres what one callwave customer had to say i have no computer training whatsoever and i didnt want to have a second phone line installed but i really need a way for my family to reach me while im on line callwave has completely taken away any worries i was so impressed with the ease of downloading and installing callwave glenda trammel rocky oklahoma this fax is sponsored by freewwweb freewwweb is americas st provider of free internet access get freewwweb join the hundreds of thousands of people who now enjoy free internet access no monthly fees no cost to join k access free e mail no busy signals free newsgroups you cant lose to find out more goto http www freeaccessnow com thank you for using your faxwave number your page fax was received on wednesday november at pm pacific standard time to view your fax please click on or download the attached file xif,2096.,chandley harvey hogan
1382,cheryl nelson is still out with the flu and has postponed her flight from new york until later today she will be in tomorrow if anyone should need assistance or need to contact her i will be glad to assist thank you for your attention to this matter regards keegan x,9465.,cheryl nelson is out
1383,sharon there are some hanky things going on in these confirms i dont like ive just spoken to russell and im going to talk to a swap attorney and then get back to you sharon crawford pm to tana jones hou ect ect cc subject re slater steel hey tana i just faxed you the new credit worksheet its totally different from tana jones on pm cst to sharon crawford cal ect ect linda sietzema cal ect ect cc subject re slater steel sharon per the email below i looked in the financial trading agreement database and saw that stephanie panus a paralegal in our group prepared an annex b for this counterparty in january of this year i would just confirm that the credit is the same and then use the same annex b as before i am going to fax the credit worksheet that credit send stephanie in january so you can check the credit below is the annex b stephanie prepared sharon as canada is now executing these confirms please get with tana or someone in her group for an explanation of your questions your questions all apply to standard procedures that the legal group in houston handles i did though make a mistake on cash collateral you are correct there is no cash collateral in canada please disregard that x for both counterpartys in regards to the complete name of slater steel as i explain in the comments of the worksheet a previous transaction was executed with a credit annex attached to the confirm once again tana or someone in legal can explain to you the database they have that would give you all this information thanks russell original message from crawford sharon sent friday march pm to russell diamond hou ect enron subject slater steel russell sorry i should have reviewed the entire credit sheet before e mailing you earlier but i have a few more questions what is the complete name of slater steel who is their guarantor what does nw before the c mm under guarantor mean cash collateral what are the rd party debt threshold amounts events of default for each of slaters guarantor and enron corp is enron corp s mac debt rating bbb why is the counterparty xd under the mac if there is a guarantor i think that are all of the questions i have for now please advise please note however that i will be away from the office next week please forward your comments to linda sietzema if you dont get them to me by today thanks sharon,10470.,re slater steel
1384,the next scheduled campaign leadership call which is scheduled for thursday may is being rescheduled as follows date friday may time pm cdt number thanks and please call if you have any questions gngr,12645.,rescheduled campaign leadership call
1385,sen wyden called jeff skilling and i subsequently spoke to his staffer joshua sheinkman as you know wyden wants to introduce legislation to facilitate disclosure of operating information about the electric grid and is now looking for more details wyden is not interested in pressing for additional disclosure of financial information the additional details they are looking for include what information should be made available when should it be made available how should it be made available and who should make it available on this last point i suggested that the legislation should apply to the transmission system operator whoever that is i e it could be an investor owned utility a publicly owned utility an iso or an rto i also pointed out that ferc could make this happen by itself except in the case of public utilities like bpa extending ferc jurisdiction to these entities could be among the main benefits of the legislation alan please pull together the recommendations on each of these issues and forward to linda linda after we have the information and perhaps some legislative language to go with it please forward to joshua at joshua sheinkman wyden senate gov wyden would like our help in getting sen nickles to cosponsor the legislation linda it may also be useful to suggest a letter from wyden to ferc asking them to use their existing authority to start these disclosures as soon as possible for those entities wver which they have jurisdiction linda and joe,5861.,sen wyden
1386,okay with financials georgi from karen lambert ect on am to lisa lees enron enronxgate enron cc tana jones hou ect ect kelly lombardi na enron enron stephanie sever enron enronxgate enron georgi landau na enron enron anthony campos hou ect ect subject re fw can gas fin opt put call please process yes global agrees from lisa lees enron enronxgate on am to tana jones hou ect ect karen lambert hou ect ect kelly lombardi na enron enron cc stephanie sever enron enronxgate subject fw can gas fin opt put call please process the product long descriptions in the attachment directly below will fall under the new product types can gas financial option call and can gas financial option put credit tom moran has approved copying the profiles for the new product type from the following can gas financial swap please respond no later than a m on wednesday may thank you original message from lozano melba sent wednesday may pm to lees lisa sever stephanie cc cass robert b walker chris meredith kevin draper lon subject can gas fin opt put call please process lisa stephanie can gas fin opt call can gas fin opt put was uploaded a couple of weeks ago as an internal product they have not created any products under them lon draper in canada wants to upload the following profile if its ok with legal and credit let me know what you find out thanks melba product type name can gas fin opt call gtc same as can gas fin swap profile copy external profiles bid offer tenor investment grade flag masters from can gas fin swap exclude brokers broker master users broker sub users from file upload product type name can gas fin opt put gtc same as can gas fin swap profile copy external profiles bid offer tenor investment grade flag masters from can gas fin swap exclude brokers broker master users broker sub users from file upload,11544.,re fw can gas fin opt put call please process
1387,hi ian any luck on letter of credit is there anything we can help with on our side we are very keen to close this transaction in the next two weeks if possible call me at if you have any questions i will call you tomorrow to touch base mark can handle any legal issues thanks original message from goldsmith ian igoldsmith natsourcetulletteurope com enron mailto imceanotes goldsmith c ian cigoldsmith natsourcetullett europe ecom e enron enron com sent wednesday may am to greenberg mark cc shults bob jones tana subject re natsource tullet beta hi mark thanks for your mail i have no problems with the new clauses f and h i will arrange for natsource llc alter the letter of credit to send a letter of guarantee i will then be ready to sign the paper work and get going thanks for your help ian original message from mark greenberg enron com mailto mark greenberg enron com sent tuesday may pm to goldsmith ian cc bob shults enron com tana jones enron com subject natsource tullet beta mr goldsmith i have attached below a copy of the updated beta reflecting the changes you proposed earlier i have added some language to your proposals but have kept the intention intact the only additional comments that i will make are that enron will require a a confirmatory letter from natsource llc that the lc posted by natsource will be applicable to natsource tullet in essence a guarantee letter and b if an lc has already been posted it will need to be modified so that it will reflect the ability of enron to realize under it for natsource tullet if no lc has been issued this latter point will need to be handled in any lc issued please take a look at the attached and let me know if anything further i will be checking with our personnel to confirm that natsource llc does not have to be a signatory to this beta see attached file beta natsource tullet draft doc mark senior counsel ews phone facsimile e mail mark greenberg enron com,12331.,re natsource tullet beta
1388,notice no march to all comex division floor members and member firms all comex clearing firms all comex operations managers from neal wolkoff executive vice president re amendments to delivery rules concerning payment in the gold silver and copper futures contracts please be advised that effective thursday march payment for delivery of comex division metal contracts gold silver and copper may be consummated by money wire if agreed upon by both clearing members currently the above mentioned contracts require payment by certified che ck only these amendments will offer added flexibility through an additional option to the clearing members upon mutual consent the amendments for the relevant contracts are attached for your review if you have any questions concerning this notice please contact thomas lasala vice president compliance at or nicholas galati director market surveillance at attachment underlining indicates additions comex gold rule e delivery of gold e the member to whom delivery is made shall at once make payment to the member making delivery by a certified check drawn upon a bank in the city o f new york or if mutually agreed upon effect payment by federal funds money wire payment shall be made upon the basis of the weight as certified in t he weight certificate for the lot and the fineness of such gold up to fin e as stamped on the bars comex silver resolution interpretation of term bar list f the member receiving the warehouse or vault receipt shall at once make payment to the member presenting the same by a certified check drawn upon a bank in the city of new york or if mutually agreed upon effect payment by federal funds money wire payment shall be made upon the basis of the weig ht stamped upon the bars delivered if the material is stamped in kilos and t he total weight as shown by the depository on the receipt is in kilos then th e total kilo weight should be converted to ounces for the purposes of determining the billable weight comex hg copper rule i delivery of copper i when documents are presented the buyer shall at once make payment by bankers certified check to the delivery member or if mutually agreed upon effect payment by federal funds money wire to the delivery member please click on the link below to indicate you have received this email http email email log cfm useremail dtana jones enron com refdo c d note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,10104.,amendments to delivery rules
1389,the clickpaper approvals for are attached below regards tm,4297.,clickpaper approvals
1390,joshua sheinkman wyden senate gov joshua sheinkman pm to tom briggs enron com cc subject fwd revised electricity information bill tom im not sure all the changes you were looking for are included but this new draft looks better to me please let me know what you think thanks joshua forward header subject attached bill author amy gaynor date pm joshua please call or email me with any questions thanks amy aeg pdf,8426.,fwd revised electricity information bill
1391,please set up some time with linda steve im not sure if you remember me but i was the gentleman that talked to you at the floor meeting on april th for ets personnel if you remember i mentioned that some of our engineering people had transferred to ees last year and that now they all want back due to the mass confusion in that organization such as billings being done on excel spreadsheets no one being allowed to talk to other groups etc etc today one of these employees linda uselman paid me a visit to inform me of her resignation from ees i mentioned to linda about my discussion with you and she said she would very much like to share with you what is going on in ees linda was one of our best employees while we hated to see her go to ees we thought this was for the good of enron now we see that everyone lost on this deal thanks norm,8518.,ees
1392,teh rest of the parts for phils pc arrived today ill build it over the weekend and test it for a couple of days before i send it to him the monitor is being shipped directly to him via mom dad i sent our old pc to kathy today she should have it next week i set up a free internet access account for her and her email address is kat wedig netzero net kat stands for kathy alan and timothy phils pc will be a piii with mgs of ram and a gb hard drive if you care about the details it should be a while before he outgrows this one i got a great deal on the parts ill add them up and let you know what it cost nobody needs to payme until phils bd viva bush rob,5828.,phils pc
1393,contracts notice no march to all nymex division members and member firms all nymex division clearing firms all nymex division operations managers from neal wolkoff executive vice president subject margin rate change for middle east sour crude oil futures contracts effective date friday march close of business futures contract middle east sour crude oil futures contract months all months rate change nymex division margins for middle east sour crude oil futures contracts clearing member maintenance margin old new member customer initial margin old new non member customer initial margin old new should you have any questions regarding these changes please contact arthur mccoy at or joe sanguedolce at this notice supersedes all previous notices regarding outright margins for the nymex middle east sour crude oil futures contracts please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdoc note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,10439.,margin rate change for middle east sour crude oil futures
1394,what should i tell john steve i havent talked with you lately hope that all is well rumor on the street is that enron may completely reverse its position on lmp and come our is support of the concept if so this is very significant it could affect the ability of various organizations to work closely together is there any truth to this rumor john anderson elcon,6366.,lmp
1395,jeff i am on vacation this week can you take care of this inquiry thank you lisa jeff and lisa rick asked me to foward this inquiry to you ill assume the two of you can coordinate and will get back to david if you have questions or if theres a problem just call me thanks richard shapiro am to janel guerrero corp enron enron cc subject re enron liquids inquiry please talk to jeff and lisa yoho thanks from janel guerrero on am to richard shapiro na enron enron james d steffes na enron enron cc subject enron liquids inquiry i took a call on friday from one of the guys i worked with in global markets and he was asking about the ca market specifically the following apparently as a result of the bp arco merger a bunch of storage agreements for diesel fuel are being cancelled and there isnt a home for the barrels any longer enron is looking into initiating a deal with kinder morgan and or eott wherebuy km eott would own and operate a new set of storage tanks and enron would lease the tanks and then sublet them to our counterparties probably near la david was inquiring about the regulatory process and the political climate in ca as a result of the energy crisis i told him that i wasnt sure on process timeframe for obtaining permits for storage tanks and that it was worth looking into do you want me to send this inquiry to dasovich or someone else in ca david needs an answer by wednesday david loosley,28808.,re enron liquids inquiry
1396,nice work kerry and barb i think we should do the follow up work on setting a follow up meeting with the senator ken left it open whether he would be available when the sen is in houston so we have made no commitment in that regard janine migden am to steven j kean na enron enron cc james d steffes na enron enron richard shapiro na enron enron susan m landwehr na enron enron kerry stroup na enron enron barbara a hueter na enron enron subject re call to sen kinder thanks steve thats great news just as an fyi the memo that ken worked from was prepared by kerry stroup and barbara hueter who are the leads on missouri as a follow up will sen kinder be contacting ken lay directly or should kerry and barbara contact sen kinders office as the date gets closer to make arrangements please advise thanks janine steven j kean pm to susan m landwehr na enron enron janine migden na enron enron cc richard shapiro na enron enron james d steffes na enron enron subject call to sen kinder ken talked to sen kinder he made the points you had prepared kinder agreed to shelve the legislation for this session he said he had been hearing from several others including proctor and gamble which has a big facility in his district that the legislation was not going to help competition develop in the state he expressed willingness to work with us on a better package and also expressed interest in coming to enrons offices he is going to be in san antonio in august and would like to come to houston around that time,5067.,re call to sen kinder
1397,that depends original message from huble amanda sent thursday may pm to maggi mike subject re is that a threat or a promise original message from maggi mike sent thursday may pm to huble amanda subject re you are in trouble original message from huble amanda sent thursday may pm to maggi mike subject re yes it is original message from maggi mike sent thursday may pm to huble amanda subject re not fair original message from huble amanda sent thursday may pm to maggi mike subject re because i said so original message from maggi mike sent thursday may pm to huble amanda subject re how original message from huble amanda sent thursday may pm to maggi mike subject re yes it is original message from maggi mike sent thursday may pm to huble amanda subject re thats not a hint original message from huble amanda sent thursday may am to maggi mike subject re youll get it original message from maggi mike sent thursday may am to huble amanda subject re how about a hint original message from huble amanda sent thursday may am to maggi mike subject re you never know original message from maggi mike sent thursday may am to huble amanda subject re as in hours days or weeks original message from huble amanda sent thursday may am to maggi mike subject re very soon original message from maggi mike sent thursday may am to huble amanda subject re when do i get it original message from huble amanda sent thursday may am to maggi mike subject re i have it original message from maggi mike sent thursday may am to huble amanda subject re by the way where is my present original message from huble amanda sent thursday may am to maggi mike subject re i knew you would like that original message from maggi mike sent thursday may am to huble amanda subject re that was a good comeback original message from huble amanda sent thursday may am to maggi mike subject re maybe i like trouble original message from maggi mike sent thursday may am to huble amanda subject you better be careful about drinks i think you might be in trouble,760.,re
1398,important there is no need to contact jebb hutton he just declined our summer offer via phone with me a little bird told me that out of the candidates enron has extended offers to for the summer are wavering the competition is between enron and either consulting or investment companies please take minutes to contact each candidate via phone or email so they will have the opportunity to get acquainted with other enron employees candidate cultivation is very important in helping a candidate decide between two different firms if you do not feel comfortable answering any of the candidates questions feel free to direct them my way candidate name contact email address michael finger mjfinger rice edu jeff wolfe jjwolfe rice edu josh webber weber rice edu regards kristin gandy associate recruiter,7726.,rice important
1399,tina ed i received a call from aes newenergy inc this morning regarding trading financials in us east power they are interested in trading the balance of day a recently new product offered by power group please let me know if they are in a position to trade this product thank you both t mandola,10902.,aes newenergy
1400,paul asked me to email this document to you it is the paper analyzing gas delivery issues into the ny california and chicago markets and an attachment which summarized interstate transportation and penalty rules let us know if you have any questions,6258.,gas issues paper
1401,let me see what i can figure out today i wish they would have given us more notice this is ridiculous im not too happy right now about this kay mann enron am to suzanne adams hou ect ect cc subject re phone number since im off today and friday and scheduled to be in fla on monday and without you im not in much better shape you know ive kept all my files on email i was hoping there would be a way to move them to a word file of something otherwise i guess im going to have to ask you to start printing highly inefficient i cant do it here though kay,6612.,re phone number
1402,thank you tana i will wait to here from credit from tana jones on pm to kathy m moore hou ect ect cc subject re sithe power marketing l p the month restriction isnt coming from legal its coming from credit you need to contact tom moran kathy m moore pm to tom moran hou ect ect tana jones hou ect ect cc subject sithe power marketing l p customer would like to find out why his profile is set only at months for us power he stated that he currently does otc for longer periods and would like to for enrononline also glen grayeb sithe power marketing l p ggrayeb sithe com please advise and thanks for your help kathy moore enrononline,3665.,re sithe power marketing l p
1403,i didnt snooze you didnt send it so send it now original message from nelson michelle sent wednesday november am to maggi mike subject re are you sure nevermind i already deleted it you snooze you lose sent from my blackberry wireless handheld www blackberry net,1450.,re
1404,notice no march to all exchange members from neal wolkoff executive vice president subject nymex access r web site as of tuesday march the nymex access r web site remains unavailable for the access session for trade date march st please call the nymex access control center nacc for all nymex access price information at we will provide an update regarding the status of the web site on wednesday march st please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdo c note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,10289.,nymex access r web site
1405,notice from neal wolkoff executive vice president re early closing date march d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d the executive committee of new york mercantile exchange inc has decided to close the exchange early today due to anticipated transportation problems because of the on going snowstorn in the new york metropolitan area all nymex division and comex division markets will close at p m all post close sessions will occur at the regular interval to the end of tradin g for the most current information the exchange is advising that individuals check fastfacts the exchange s hour information service at and use extension for announcements or log onto the exchange s world wide web home page on the internet http www nymex com please click on the link below to indicate you have received this email http email email log cfm useremail dtana jones enron com refdo c d note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,9829.,early closing
1406,enrons ny risk management seminar will take place on thursday april th in new york city below are enron invitation enron letter to ny policymakers list of ny policymakers who are planning to attend list of wholesale customers invited schedule of presenation list of ny policy makers attending assemblyman paul tonko john howard chief of staff to assemblyman tonko john cahill senior policy advisor to govenor pataki mary ellen burns assistant attorney general energy division gavin donohue independent power producers of new york richard miller senior vp for energy ny city economic development corporation just as an aside our power traders met separately with a large group of psc staffers in march to discuss risk management updated invite list schedule of presenation michael brown power outlook minutes craig breslau natural gas outlook minutes janelle scheuer hedging strategies hour gary taylor weather risk management minutes binders with all presentations will be made available to attendees,2890.,ny risk management seminar
1407,notice no may to all nymex division members from neal wolkoff executive vice president re procedures for recording spread transactions on nymex division trading pads cards nymex members have recently been advised through notice to members o f the upcoming incorporation of spreads into the one minute trade time statistics weekly statistics are currently being posted outside the nymex division trading floor monthly statistics will subsequently be posted these spread statistics will not be counted in a member s overall percen tages until the closure of a phase in period which is anticipated to be approximately ninety days in connection with this matter a number of discussions have taken place between the ad hoc committee of the floor committee who is presently involved in the upcoming audit trail classes for members thursday june tuesday july and wednesday august during these discussion s questions have been raised with staff as to the proper or acceptable ways o f recording spread transactions on a member s trading pad card to assist floor members the attached pictorial demonstrates three methods of recordi ng the sale of a spread no prices a one leg price c and both leg prices d as well as a purchase of a spread b these images can be found at http www nymex com refernce notices ntm htm any questions related to this matter should be addressed to fred tantao manager floor data entry at george henderson vice president floor operations at or thomas lasala vice president compliance at please click on the link below to indicate you have received this email http email email log cfm useremail dtana jones enron com refdo c d note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,12182.,procedures for recording spread transactions on nymex
1408,fyi ladies and gentlemen attached please find the revised transfer and assumption agreement please note that in the interest of time i am sending this document to all parties simultaneously thus there may be additional comments for your convenience i am attaching both a clean copy and a marked version showing changes from the most recent draft you received best regards kate polozie katarina b polozie mcdermott will emery kpolozie mwe com see attached file wdc doc see attached file wdc doc this message is a private communication if you are not the intended recipient please do not read copy or use it and do not disclose it to others please notify the sender of the delivery error by replying to this message and then delete it from your system thank you for more information on mcdermott will emery please visit our website at http www mwe com wdc doc wdc doc,9917.,transfer and assumption agreement
1409,i will try for monday or tuesday afternoon i will get back to you by the end of the week original message from eliotlevin cs com enron mailto imceanotes eliotlevin cs ecom enron enron com sent tuesday june pm to maggi mike subject re re good morning mike from eliot mike the beginning of next week is pretty light name a time that is convenient and ill be there thanks mike maggi enron com wrote let me know if you are available one day next week for an interview thanks original message from eliotlevin cs com enron mailto imceanotes eliotlevin cs ecom enron enron com sent monday june pm to maggi mike subject good morning mike from eliot mike i hope you had a nice time in florida amy and i had a great time with matty over the weekend he is so cute and was very well behaved for us i was just looking at the enron website again i was reading more about the analyst program which sounds like a great learning opportunity i understand that you may not be able to help me right now as the market is somewhat tight i would definitely appreciate your trying i have attached my resume for you to review or forward to the appropriate personnel i am excited about the opportunity and of course the possibilities thanks again mike eliot updated resume doc file updated resume doc,729.,re re good morning mike from eliot
1410,not lately original message from maggi mike sent monday november pm to rybarski amanda subject re yes i am original message from rybarski amanda sent monday november pm to maggi mike subject re you are no fun at all original message from maggi mike sent monday november pm to rybarski amanda subject re i cant because i need eol to beep when it trades original message from rybarski amanda sent monday november pm to maggi mike subject if you dont like the noise mute your computer,1053.,re
1411,my proposed changes elizabeth ivers pm to mark palmer corp enron enron steven j kean na enron enron cc mark koenig corp enron enron subject california a starting point for the california section of the conference call script please comment thanks,6211.,california
1412,why am i a fink original message from nelson michelle sent wednesday november am to maggi mike subject re you are all talk and you are a fink original message from maggi mike sent wednesday november am to nelson michelle subject re i know im all talk ill be down in a little while original message from nelson michelle sent wednesday november am to maggi mike subject re you have all the answers dont you dont you think that someone will figure out your little plan oh and thanks for coming down here and giving me some news fink,1419.,re
1413,please be advised that ken raisler from sullivan and cromwell will be conducting sales practices anti manipulation training sessions this week for the commercial staff the program covers the legal implications of various activities of our commercial team particularly as they interact with customers in marketing the program also covers laws prohibiting market manipulation that might affect our trading and marketing activities the two hour training sessions will be held at the doubletree in the dezavala room on the second floor at the listed times please feel free to attend and observe since legal staff are more likely to know the answers you are asked not to participate in the break out small group sessions session thursday sept p m session thursday sept p m session friday sept a m session friday sept p m please feel free to contact me at x or mark taylor at x if you have any questions best regards taffy milligan,3712.,sales practices anti manipulation training
1414,i just received a call from lacye trevino chris hilgerts asst she has set up a new meeting for monday january th from am am her extension is on the calendar the details are as follows mtg w chris hilgert mark knippa lacye re universal compression location eb if you need further assistance feel free to call keegan,4550.,new meeting
1415,attached is a revised version of mike days draft of part of the legislative package on expedited permitting of new and expanded electric generating capacity i have tried to incorporate the thoughtful comments provided to me by sam wehn of ena and barry ogilby of mccutcheon outside counsel since mike will soon be off on a family vacation please direct any comments or questions to me at or bcragg gmssr com part doc x doc,7651.,part revised
1416,carol st clair eb phone fax carol st clair enron com fyi julia heintz murray enron wholesale services enron industrial markets llc smith street eb houston tx fax julia murray enron com darlene c forsyth enron enronxgate am to annmarie tiller enron enronxgate brent vasconcellos enron enronxgate danny wilson enron enronxgate david c williams enron enronxgate james sandt enron enronxgate vicki sharp hou ees ees kristina mordaunt enron communications enron communications travis mccullough hou ect ect alan aronowitz hou ect ect julia murray hou ect ect lance schuler legal hou ect ect daniel r rogers enron development enron development alan quaintance jr enron enronxgate cc davidbarbour akllp com smtp enronxgate charles delacey hou ect ect gareth bahlmann enron enronxgate ryan siurek corp enron enron bill bowes enron enronxgate jordan mintz enron enronxgate barry schnapper corp enron enron leslie linares enron enronxgate subject hawaii presentation david barbour andrews kurth with the assistance of enron representatives from global finance commercial legal accounting and tax will make a presentation on the hawaii structure on monday april th from in eb c please feel free to extend an invitation to whomever in your group who may benefit from this presentation please rsvp to leslie linares at x or by email by thursday april as lunch will be served thanks darlene,10875.,hawaii presentation
1417,i usually use more bananas than that recipe calls for also no fruit liquor usually turns out well is this approach ok or do you love the standard ray original message from tana jones enron com to rayberyl mack worldnet att net sent friday may am subject re may church gourmet cajun dinner l ovely choice ray beryl mack rayberyl mack worldne to tana jones enron com t att net cc subject re may church gourmet cajun dinner pm looking forward to being with the party i will make bannas foster ray mack original message from tana jones enron com to cttng pdq net alicia goodrow enron com henryg shellus com ah bcm tmc edu rayberyl mack worldnet att net sent wednesday may pm subject may church gourmet cajun dinner i look forward to having you all as guests for an evening of cajun cooking at my home on saturday may at pm some of us i wont name names are hoping we might even have enough time to play a wicked game of african uno below is the list of the individuals attending the dinner at my home and attached below are the recipes for the evening i will provide beer wine and soft drinks in addition i will make a big pot of white rice to go with the red beans rice shrimp etouffe please let me know as soon as possible which recipe you would prefer to prepare laura johnson charles and janice thompson john hagood ann hutson henry and alicia goodrow beryl and ray mack tana jones the directions to my house are as follows take to the greenbriar exit like you are going to church make a right on greenbriar quickly get into the left lane because you will have to make the first left possible onto a street called milford then make a left onto shepherd you need to go back one street in the opposite direction the first right will be banks street it is the street right next to the freeway on banks go past the first stop sign i will be the or th house on the left a taupe colored ivy covered cottage banks my phone number is see attached file church gourmet doc,11680.,re may church gourmet cajun dinner
