,Subject,Body,File name
89,northwest pipeline company,any ndas for referenced company tana please send a bilateral nda regarding stack manager lite to mr ed brewer northwest pipeline company chipeta way mail stop i salt lake city ut email ed r brewer williams com thanks dan,12293.
90,india dpc press release,at approximately a m our time this morning the attached press release was issued by dpc in india if you require additional information please feel free to contact me at ext or during sunday at home or cellular,12818.
91,nda carr futures inc,return receipt your nda carr futures inc document was mark thomas london icf received by at pm est,9509.
92,turner cnn,gentlemen i just got off the phone with david stark who wanted to better understand the thinking behind enrons preference for a smaller marketing deal rather than the full sponsorship that uva and stark pitched last week i reiterated to him that we would not normally entertain such a large deal without a significant commercial transaction or series of transactions and that the size of the opportunity set currently in front of us only justified discussing the smaller marketing deal as indicated in steves email stark pressed to know what value we wanted to see in the set of aol twx turner cnn deals that are underway currently he was clear in stating that if we had a number in mind he could push other parts of the organization to direct business our way sufficient to meet our needs to justify a larger sponsorship i declined to give him a value but i think we should discuss this in some detail ill get in touch to set something up stephen dowd enron broadband services office mobile,7104.
93,aig,its ok to open aig energy trading inc for us financial gas power,10084.
94,change order,jeff please review the attached change order regarding storage for unit i will call to discuss chris,4997.
95,mdea risk letter,kay before the agreement and your risk letter are finished i want to ask again that we focus on those particular items remaing in the agreement that may create incremental risk and would lead to a worse risk rating in your risk letter if you would pinpoint those items then we can discuss them to be sure that we get language in the agreement to mitigate those risks with your knowledge of the law and ability to craft language into the agreement and my knowledge of the utility business and power trading i think that we can improve most or all of these risk issues in addition the mdea deal is becoming a template for all similar deals so anything that we can take care of in this agreement will flow through to other deals thanks david,6535.
96,nda commoditylogic,tana i have had a request for an nda with zefer boston they are a consulting firm working with fleet boston on a deal with commoditylogic could you please prepare an nda using the fleet boston nda as a base for the following zefer boston beach street boston ma it is for tom gros thanks mark senior counsel ena phone facsimile e mail mark greenberg enron com,10384.
97,opinion elite survey,heres the opinion elite file it looks very strong for our open access argument suggest we update the wh any other uses i have the verbatims and cross tabs well send a sanitized version although theres not much i wouldnt want everybody to see to some of the interviewees who requested it mark enron team a draft of the key findings of the opinion elite survey is attached we are sending out hard copies tonight so you should have them tomorrow morning thanks the following section of this message contains a file attachment prepared for transmission using the internet mime message format if you are using pegasus mail or any another mime compliant system you should be able to save it or view it from within your mailer if you cannot please ask your system administrator for assistance file information file execsummary pdf date apr size bytes type unknown execsummary pdf,8249.
98,rcr time change for today,the rcr meeting today at pm noon cdt has been rescheduled for pm cdt today please note the time change the dial in number will remain the same thanks gngr,27750.
99,westinghouse letter,lynn for discussion purposes well talk at your time mitch am kay mann pm to mitch robinson corp enron enron cc subject westinghouse letter kay,2520.
100,lunch,hi jeff lets do lunch when you have some time at least before they send you and the rest of the enron staff off to san quentin ill be at naruc in seattle next week,28662.
101,brokerclient,mr goldsmith at the request of bob shults and consistent with your e mail to bob attached are the documents for the brokerclient products the beta and fee agreement if you should need anything further please let either me or bob know mark senior counsel ews phone facsimile e mail mark greenberg enron com,11806.
102,pg e sce cent surcharge,follow up on monday california conference call regarding passthrough of the cent surcharge sce does not appear to be passing through the cent surcharge to direct access in a letter to the pucs energy division on june sce said by incorporating both the and cent per kwh surcharges into the generation component of total rates in advice e sce has effectively exempted da customers from these surcharges by including them in the new da credit sce however is not entirely sure whether the commission intends to exempt the da customers from the cent per kwh surcharge and has previously requested energy divisions opinion on this matter this letter was responding to a request by arem for clarification of this very issue in a prior advice letter e of april sce seemed to say that the generation rate that forms the basis of the px credit does not include the cent surcharge so sce seems to think the puc has been unclear about whether the cent surcharge applies to direct access and as a result is not billing it to direct access this is in spite of the pucs january order where it said all other customers including direct access customers are subject to this surcharge p of course it is not at all clear what sce will do if the puc clarifies for sce that they could have been billing the surcharge to direct access customers pg e is passing through the cent surcharge to direct access pg es advice letter e of may clearly exemps direct access from the cent surcharge only where are the from the surcharges going march puc order of commissioner lynch pg e and edison shall enter the revenues from the rate increases into balancing accounts and the revenues shall be subject to refund if at a later date we determine that the utilities failed to use the funds to pay for future power purchases the revenues the utilities have collected and continue to collect from the one cent per kilowatt hour rate increase authorized on january shall be used to pay for power purchases and not for any other costs incurred by the utilities p it is reasonable that a certain amount of the revenues from the rate increases will be provided to dwr for its power costs once dwr provides us with its revenue requirement p so the utilities have been directed to hold the money from the surcharges in balancing accounts pending the pucs acceptance of dwrs revenue requirement call me with any questions,11549.
103,draft letter,here is the draft letter for your consideration please distribute this to the members of the legal team at enron thank you for your assistance and have a happy holiday season rv wpd rv wpd,1242.
104,land option,gentlemen due to some internal comments we have made some revisions to the land option agreement the most significant change is that it is clear that the option payment is not refundable and will not be applied against the purchase price there is also a clarification in paragraph re assignment that the assignee remains responsible for any liability arising prior to assignment i believe we are ready to go forward with signature when you are please advise if this version is acceptable also please let me know if you would like for me to have a redline version prepared kay,3940.
105,draft of supreme court brief,steve and linda here is the first draft of the supreme court brief i inadvertently left you all off my prior earlier please let us know if you have any comments the brief is due to be filed at the court on april thanks sarah jim and rick heres the first draft of the supreme court brief marcia would you please print this out for me thanks sarah cohen louis lcohen wilmer com pm to dbva radix net dbva radix net jhartso enron com jhartso enron com snovose enron com snovose enron com tabors tca us com tabors tca us com jcardell tca us com jcardell tca us com jeffrey d dan watkiss e mail dwatkiss bracepatt com killory ted tkillory wilmer com frankel jonathan jfrankel wilmer com plotnick michael mplotnick wilmer com palansky ijay ipalansky wilmer com cc cohen louis lcohen wilmer com subject draft of supreme court brief here is a first publishable draft this has benefited greatly from comments by richard judy and of course dan but wcp takes full responsibility careful further review by all is needed i can identify two basic problems the repeated statistics for use of the grids are believed to be about right but we lack authoritative sources and we need to go with something firmer as we in the power biz say second the examples given both late in the statement and near the end of the brief have been reworked by me in light of some very helpful conversations yesterday but i may not have gotten them right or put them as well as i could have these also need citations if possible i will be out of play until late morning monday going to charlottesville for a speech by my spouse comments should be routed to others on the wcp team as well as me we hope to have all significant comments by the end of next week earlier where possible of course so that we can put the brief in final shape over the weekend thanks to all draft petitioners brief v doc,8153.
106,wright deposition,privileged and confidential joint defense communication to grynberg jdt participants from don schultz re deadline tomorrow points attached is a draft letter to judge downes as discussed in this afternoons telephone conference please share any feedback or edits as soon as you can as this needs to be filed tomorrow i asked dana eismeier if grynberg plans to file anything on this wright motion he said hosie has a footnote in his motion to assert no other relators should be permitted to participate in the deposition this was a hostile reaction to the letter grynberg counsel had sent to hosie on the subject for tomorrow eismeier wants to refrain from the high state of animosity that has marked prior exchanges with hosie and so plans to file a motion to extend the deadline for a week to promote discussions to work something out if they dont work something out grynberg will file something to demand participation i dont think this changes what we discussed today and think we should go ahead to finalize our letter attached is a revision of the wright group brief this version goes further in proposing schedule steps for original source issues than i expected the rewrite would go and predicted in this afternoons call please take a look at this version let me know if you feel we should arrange a call fairly early tomorrow to try to provide feedback to the wright drafters or send me your comments to be collected and forwarded to those folks thanks doc opposition to wright deposition vr doc opposition to wright deposition vr wpd,7561.
107,star supply,tana please send a bilateral nda re broker client to rob rynveld star supply petroleum inc engle street englewood nj robr starsupply com thanks dan,10658.
108,senior director criteria,as a follow up to our discussion at the june hr prc meeting attached is criteria for using the senior director level that was established agreed to by the ets executive officers in may the need for this criteria was discussed at the final year end ets prc meeting and agreement was reached prior to the mid year prc meetings the criteria was used in the final mid year ets prc meeting on june there were no new senior directors approved at mid year for ets gary,8872.
109,ebs marketing employees,good morning steve per marla barnard im forwarding the attached spreadsheet please let me know if you have any questions best regards kim see attached file ebs marketing employees xls kim hanson senior staffing specialist enron broadband services http www enron net ebs marketing employees xls,7844.
110,prc committee meeting peer groups,dear all further to the prc committee meeting please find attached the first draft of the peer group mapping by function it was decided that each member would review the proposal to move from peer groups to for mid year the attached was completed some weeks ago by the hr leads in your business unit and is based on a mckinsey study requested by jeff skilling and steve kean under your review of the attached information please focus on the final two pages that show the strawman on how the functions fell out under the proposed peer group structure i have copied in the hr leads for your business area they have been instrumental in completing the mapping and will meet with you to provide any specific information you require concerning placements with your business area i would point out that there does appear to be some inconsistencies in function placements within the peer groups for some business units it will be our primary focus at the next meeting to resolves these issues your assistants have been contacted regarding the time and date of our next meeting under separate cover for our london colleagues we will aim for a morning meeting david oxley,8064.
111,agenda for tomorrows energy committee meeting,good afternoon please find the agenda for tomorrows energy committee meeting attached along with the june minutes we will be hosted again by siemens at old ironsides drive in santa clara building please see below for directions and building location if you have not yet confirmed your participation at this meeting please rsvp immediately so that our host can be prepared for us thanks directions to siemens from the exit at great america parkway turn left at patrick henry drive across from the amusement park turn right at old ironsides drive turn left at democracy way there will be ample parking in front of building please note that we will not meet in the building that we met in last week building is located to the right of it energy committee agenda june doc energy committee meeting minutes june doc,12481.
112,list of outstanding issues for completion of world hunger form,list of outstanding issues for completion of world hunger form agreement doc pursuant to scott dieballs request attached please find a memo summarizing and describing the status of the outstanding issues tasks for completion of the world hunger form turbine agreement i have almost completed the form override letter i need to add new reps and warranties based upon comments that i received from rose over the weekend list of outstanding issues for completion of world hunger form agreement doc,6393.
113,employees with years of service in,the attached list is of employees with years of service based on the vested eligibility date in sap please review for accuracy and reply back to me with changes no later than friday january the date for the banquet has not yet been determined i will forward this information to you when it is confirmed thanks teresa wright year banquet coordinator,7029.
114,power demand forecast weather derivatives online,from climaton research co http www climaton com subjects weather electricity demand forecast online weather derivatives online data pricing tools to vincent kaminski enron corporation as a professional concerned with power and weathers effects on power demand you must be interested in the two online services provided on http www climaton com weather electricity demand forecast online http www climaton com when prompted please use user name guest password power valid until weather based daily electricity demand forecast for each of the next days is issued every morning for the entire u s geographical regions individual states and over the service area of most u s power companies this information can assist power producers in scheduling their power plant operation help users to plan for potential interruption power traders can use this info to predict short term power price movement so visit http www climaton com now and see how power demand is responding to the cold front currently attacking most part of the country weather derivatives online data pricing tools http www climaton com you can view and obtain historical hdd and cdd data and statistics for the past years for nearly weather stations in the united states you can also easily price an hdd or cdd call or put option for these stations using easy to use online pricing tools so visit http www climaton com now and see how you like it thank you climaton research co,7696.
115,materials ken lay used,fyi for future reference jeff dasovich sent by jeff dasovich am to linda robertson na enron enron richard shapiro na enron enron skean enron com janel guerrero corp enron enron paul kaufman enron enronxgate daniel allegretti na enron enron howard fromer na enron enron susan m landwehr na enron enron mpalmer enron com james d steffes na enron enron cc subject on the call on friday linda asked if we could distribute materials developed used recently in california regarding the crisis and solutions to try to resolve it attached are a backgrounder provided to the business leaders that ken lay met with last week a power point presentation that is a higher level discussion of the more detailed backgrounder if i missed anyone please forward along if anyone has any questions give me a call at best jeff,13164.
116,siting,attached please find a press release from governor davis outlining his expedited siting proposals as well as naming a new siting czar http www governor ca gov state govsite gov htmldisplay jsp bv sessionid bv engineid calkdgkgjddbemfcfkmchcgi scattitle pre ss release sfilepath govsite press release pr newgenera tion html stitle governor acts to boost power generation ioid,7401.
117,clarksdale,kay could you forward me e versions of the completed one month clarksdale transaction the draft transaction document you feel is the best template from the point of view of the seller of the marketing services and the finalized term sheet if there was one before the parties started to work on the definitive agreement relating to clarksdale my virginia garbage burners transaction has awakened with negotiations occurring tomorrow thanks david,6410.
118,legal credit meeting,legal credit meeting wednesday may am am eb thanks z zionette vincent x,5789.
119,message relayed dfewer aol com,your message has been relayed to the following recipient s dfewer aol com message relayed the message was successfully delivered to recipient s at domain aol com c dtf c dtf,12016.
120,letters to gtr and ai,kay attached please find for your review the draft letters to gtr to accelerate the y note to ai to make a claim under the bond in respect of the us mm loan and to ai to make a claim under the bond in respect of the us mm loan the amounts have to be filled in the blanks best regards thomas v doc,4058.
121,legal contacts list,attached is an updated list of the legal contacts for online issues please provide the list to anyone you think might find it helpful,9268.
122,deal bench access for midway,kathleen john keffer bill parrish and andy schifrin need access to midway on deal bench can you handle this for me thanks kay,4665.
123,a computer and internet connection for you and your family,theres a rumor going around that you are signing up people for the pilot program if true i would love to volunteer as i work at home frequently thanks kay as you know technology is critical to enron it drives our success and wil l continue to do so in the future technology has helped enron create new businesses like enron broadband services and enron net works and it is responsible for applications such as enrononline and enroncredit com you ve seen what technology can do at work now we want you and your family to realize its benefits at home with that in mind we are excited to let you know that we are introducing t he clickathome program which will give each employee a computer for use at home where technology permits we will also subsidize an internet connection with the click of a mouse a home computer plus internet access will put a world of internet knowledge at your family s fingertips we have just signed an agreement with dell computer corporation to provide the computer hardware we wanted to let you know about the program now in case you and your family were considering the purchase or upgrade of a home computer or internet connection in the next few months the scope of clickathome includes the following basic package dell desktop computer with a high speed processor floppy disk drive mouse speakers monitor modem cd rom drive and windows software employees will have the option to receive a subsidized internet connection including broadband where commercially available participation this program will be available to active regular full time and regular part time employees of enron and its wholly owned subsidiaries however employees of some enron companies portland general electric eott enron facility services may not be able to participate due to legal accounting tax labor or business reasons eligibility includes being employed at the time of implementation timing u s employee sign up will begin in early with delivery of the equipment and internet connection to follow shortly thereafter delive ry of equipment to participating non u s employees is targeted for late details about this program are still being finalized to address some of your initial questions we ve posted a question and answer document on http clickathome enron com we will schedule an espeak session in the ne ar future where you will have an opportunity to ask questions or you can submit your questions and comments to clickathome enron com we are excited to extend our investment in technology to you and your family we believe this program takes communication at enron to a new leve l by creating endless possibilities for you to experience and participate in the broadband internet revolution it is just another reason why we believe enron is a great place to work,3295.
124,list of accomplishments,i need your list of accomplishments five to ten items for calendar year by the close of business next tuesday december thank you,314.
125,drs appt,just a reminder that i have a drs appt this am nothing special just one very overdue check up kay,4737.
126,revised draft briefing outline,good evening all attached are a revised clean draft of our ongoing briefing outline and a redlined version of the outline a few notes i have not yet prepared appendix a the definition of net undercollected amount it would be useful for ann to make sure that the defined term in the mou still works in this context ann would you please put together the appendix for inclusion jeff dasovich has committed to providing a criterion for determining when the retail market is viable this is a very important issue both to large customers and i would assume to esps we look forward to hearing from jeff on monday on this point we have no new information from the coming and going subcommittee but look forward to including that information when available customers perhaps both large and small would be well served to get together to talk about the interim rate relief section im not sure whether ive fairly captured the discussions or whether the discussions were clear enough to capture at a minimum this effort should move us one step closer to identifying the competing proposals enjoy your weekend draft issues outline redline doc,12510.
127,ercot agreement,to all subcommittee members attached is the final draft which is being sent to tmos for approval because the participants voted to to keep sections and as they are currently drafted no changes were made to those sections i reviewed and used most of txus and southerns edits regarding typos and clarification which i appreciate if you would like to see the changes then go to track changes and highlight on screen thank you all for your help hopefully this agreement will be approved at tmos and then tac i will or naim will keep you apprised margaret pemberton ercot wholesale enabling agreement draft ten doc,1099.
128,jim fallon in charge of power and emissions trading,mark fyi regarding jims new role thanks elizabeth pm from tim belden on am to everyone in ect portland cc subject jim fallon in charge of power and emissions trading greg whalley has informed me that jim fallon will now be in charge of east power west power and emissions trading this means that my boss will now be jim fallon rather than greg whalley i met with both greg and jim when i was in houston last week greg was very complimentary of the work that weve done here greg has become extremely busy since his responsibilities have expanded from north american trading to risk management worldwide accordingly he thought that it made the most sense to consolidate the power trading functions in north america under one person jim was also very complimentary of our work we have been profitable for straight quarters exceeded plan in and have exceeded plan in q and q of he wants to see this success continue jim expects to spend at least one day out of every two weeks up here i am looking forward to working with jim he has done an outstanding job running the east power desk this should enable us to increase coordination between the two groups and allow us to have a strong advocate in houston while its too early to say anything definitively i dont expect much to change on a day to day basis here if anyone has any questions please dont hesitate to ask,1132.
129,sec chair,no wednesday july page a issn x regulation law economics securities and exchange commission bush formally nominates new sec chair tapping former general counsel harvey pitt president bush formally nominated washington lawyer harvey pitt july to become the next chairman of the securities and exchange commission a spokesman for the senate banking committee confirmed that day pitt a partner in fried frank harris shriver jacobson served as general counsel of the sec from to before entering private practice the white house said may that it would nominate pitt to head the agency pitts nomination will be considered by the senate banking committee which is headed by sen paul sarbanes d md before it can be voted on by the full senate the committee spokesman told bna that no confirmation hearing has yet been scheduled if confirmed by the senate pitt would serve the remainder of a five year term expiring june he would succeed arthur levitt a democrat who chaired the sec for seven and a half years before stepping down in february levitt was the longest serving sec chairman in the agencys year history large law practice since levitts departure commissioner laura unger has served as the commissions acting chairman currently unger and commissioner isaac hunt are the only two members of the sec at fried frank pitt has developed one of the countrys largest and best known securities law practices he has represented securities industry groups and companies in dispute with the sec however pitt is perhaps most renowned for having served as defense counsel to the notorious ivan boesky at the time of the wall street insider trading scandals in the late s and early s pitt received a j d from st johns university law school and is a graduate of city university of new york brooklyn college in may news of the presidents intention to nominate pitt sparked seemingly universal praise by key members of congress regulators the securities bar and the securities industry in response to the formal nomination the senate banking committees ranking republican member sen phil gramm r texas issued a statement saying mr pitt has few peers in his depth of experience in the operation of americas securities markets and the impact of the laws and regulations which protect investors gramm said he looked forward to timely consideration of pitts nomination at the same time securities industry association president marc lackritz said of pitt in a statement i believe that under his leadership the sec will be an effective advocate for efficient fair competitive and well regulated u s capital markets the associations general counsel stuart kaswell remarked that there is no one with a more in depth knowledge of securities law and said that pitt will do a great job representing investors interests copyright by the bureau of national affairs inc washington d c,12974.
130,please help,good afternoon yesterday my inbox all my personal e mail folders and any document attached to an e mail were lost nothing happend specifically to cause this we do not know where the data went and have been unable to retrieve it please if you know anything about outlook or data recover i need your help i rely on e mail not only for communication but to transfer and receive very important information some of which will be lost permanently unless i am able to restore the files i also use my e mail as a form of record keeping and information storage which helps me to do my job please if you can help or know someone who may get in touch with me my direct line is thanks recovering this information will make me very happy laura,13485.
131,tfs loi,dan please see the attached marked version of the tfs loi i intend to send this to tfs for their signature but wanted you to see it first let me know your thoughts thanks mark senior counsel ews phone facsimile e mail mark greenberg enron com,11611.
132,uc csu press release,fyi here is the approved press release uc csu added a few more details concerning the extension of the contract,28413.
133,commoditylogic beta test agreement,peter i have attached below a beta test agreement for enron canada the product being tested is net works commoditylogic internet based back office tool this system is currently in the development state and is being reviewed by enron as well as other companies within the industry peggy hedstrom is involved in the process of reviewing and testing the cl product we have obtained similar agreements from all beta test participants and need to have this for cls files we are also obtaining one from ena please direct this to the proper party for signature two originals and then have them forward the originals to my attention or tanas we will ensure the agreement is countersigned and one original is returned to ecc for its files if you need more information this matter track me down at the conference and we can discuss it further thanks for the assistance mark senior counsel ews phone facsimile e mail mark greenberg enron com,11473.
134,mid year performance feedback,note you will receive this message each time you are selected as a reviewer you have been selected to participate in the mid year performance management process by providing meaningful feedback on specific employee s that have been identified for you your feedback plays an important role in the performance management process and your participation is very critical to the success of enrons performance management goals please provide feedback on the employee s listed below by accessing the performance management system pep and completing an online feedback form as described in the performance management quick reference guide you may begin your feedback input immediately please have all feedback forms completed by the date noted below if you have any questions regarding pep or your responsibility in the process please call the pep help desk at the following numbers in the u s option in europe option in canada canada employees only or e mail your questions to perfmgmt enron com thank you for your participation in this important process the following list of employees is a cumulative list of all feedback requests by operating company that have an open feedback status an employees name will no longer appear once you have completed the feedback form and select the submit button in pep review group enron feedback due date jun employee name supervisor name date selected bowen robert j jefferson d sorenson may campos anthony constance sutton may davis frank sheri l thomas may gillette lisa d frank davis may harrell willie l judy e barnes may st clair carol l mark taylor may,12605.
135,tolling teco,teco tolling with my comments,4856.
136,all employee meeting,this is a reminder to join ken lay and jeff skilling at an all employee meeting at a m houston time this wednesday feb the meeting will be held in houstons hyatt regency imperial ballroom ken and jeff will review enrons year end financial and operating results and discuss the outlook for this year and beyond the meeting will be streamed live on ip tv to employees in houston omaha portland ena new york calgary london stockholm frankfurt hamburg amsterdam madrid toronto dublin ohio and san ramon and costa mesa in calif in addition we will broadcast the meeting via video teleconference to employees in portland ebs chicago tehachapi calif bogota sao paulo buenos aires san juan warsaw chester u k and teesside nepco to view the meeting on the ip tv web site direct your internet browser to http iptv enron com note you will not be able to view the meeting on this site until a m houston time on feb click the link for special events click the link for the all employee meeting if you would like to ask a question via ip tv during the meeting you may do so by clicking the hand icon at the bottom of the video frame enter your question in the box that appears and click to send it ken and jeff will receive these questions during the meeting and address as many as time permits during the q a session employees based in europe japan and australia you will receive an e mail with more details on how to access the meeting and or receive a videotape of the meeting if you are located in a remote office with limited access to ip tv all other employees if you dont have access to ip tv or if you do are unable to attend or view the meeting you can order a video by contacting courtney votaw by e mail or phone,9423.
137,phone number,i have a phone number on a post it note on my cabinet just to the right of where my computer would be if i was there it is a lawyers name which of course i cant remember male with a or phone number it may be david something or other could you email me that name and number do you know if there is a way for me to save my emails that i have in folders bet the weather is better than this in san fran kay,6605.
138,may atom processing schedule,notice april to all nymex comex division members all nymex comex division member firms all nymex comex division clearing firms all nymex comex division operation managers from george henderson vice president michael campanelli vice president re may atom processing schedule date business day event preliminary atom reports last day for adjustments final atom reports cms debited for brokerage nymex gets confirmation of available funds in escrow account and initiates transfer to brokers funds are deposited to broker accounts brokers who check their morning balances will see the atom deposits reflected in their bank balances note broker enrollments for june cycle must be received by the membership department no later than a m on may if you have any questions regarding nymex please contact juan serrano or gerard taibi at if you have any questions regarding comex please contact david sherman at please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdo c note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,11370.
139,napanews com former vintage biology teacher arrested htm,cameron wasnt he your biology teacher napanews com former vintage biology teacher arrested htm napanews com former vintage biology teacher arrested htm,29178.
140,gas natural servicios,we have received an executed assignment and assumption agreement effective as of february by and among gas natural mexico s a de c v gas natural servicios s a de c v and enron corp this assignment and assumption agreement assigns the enron corp guaranty originally issued in favor of gas natural mexico from gas natural mexico to gas natural servicios copies will be distributed stephanie panus,12288.
141,final document letter,please keep this confidential and internal to the company thanks best jeff hi all here are the final document and letter i will also be faxing everyone a copy of the letter with signatures thanks delaney final draft issues outline doc final cover letter doc,28255.
142,gfi enrononline documents,at the request of bob shults i am attaching our proposed form of letter of interest in addition although we feel our current discussions are covered by the non disclosure agreement between our affiliate enron europe limited and gfi group inc we would like to enter into a non disclosure agreement directly between gfi and enrononline and enron net works due to the ongoing nature of our discussions if the enclosed meets with your approval please sign the enclosed documents and return them to me via fax i will have them executed by enron if you have any comments or questions please do not hesitate to call me at,9208.
143,hba pictorial roster photos free,photo sessions for next pictorial roster set for june august the houston bar association has contracted with a new publisher for the edition of the hba pictorial roster and photography sessions have been scheduled for members who would like to have a new picture taken for the roster free of charge any member who would like to have his or her photo taken may come by the houston bar association office between the hours of a m and p m on june or june another session will be scheduled august and august there is no charge for the photo no appointment is necessary and the photo sessions will take only a few minutes the houston bar association office is located downtown at fannin suite members may also submit their own photo for the roster or use an existing photo already on file with the hba legal directories publishing company inc will begin publishing annual editions of the pictorial roster rather than every two years the hba hopes to have as many current photos as possible in the new roster so please take advantage of this opportunity,6642.
144,margin rate change for western electricity futures,notice no february to all nymex members and member firms all nymex clearing firms all nymex operations managers from neal wolkoff executive vice president subject margin rate change western electricity futures contracts effective date tuesday february close of business futures contracts california oregon border palo verde and mid columbia electricity futures contract months all months rate change nymex division margins on california oregon border palo verde and mid columbia electricity futures contracts clearing member maintenance margin old new member customer initial margin old new non member customer initial margin old new should you have any questions regarding these changes please contact arthur mccoy at or joe sanguedolce at this notice supersedes all previous notices regarding outright margins for the nymex california oregon border palo verde and mid columbia electricity futures contracts please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdoc note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,9351.
145,briefing on brent market,notice no may to all nymex division members all comex division members all nymex member firms all comex member firms from neal wolkoff executive vice president re briefing on brent market there will be an informational seminar on the fundamentals of the brent crude market at pm on thursday june in the seminar room on the th floor of the exchange building the purpose of this meeting is to inform potential nymex brent traders about the factors that influence price and other key issues unique to the brent market there is no cost and attendance is open to all interested parties please click on the link below to indicate you have received this email http email email log cfm useremail tana jones enron com refdo c note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,12216.
146,carr futures inc,i have received an executed futures agreement for carr futures inc cp from legal it is an old agreement that dates back to i see where this counterparty is in profile manager but would like for you to verify whether or not this agreement should be set up for on line trading thanks georgi,9738.
147,electronic newsletter,please read the following message from kathie grabstald and michelle vitrella in public relations the weekly electronic newsletter is a project that mark frevert requested and it is important that enron global markets be responsive when we are asked for information from our business units please pass along to kathie and michelle the name of a contact person in your group that will be responsible for providing updates for the weekly newsletter kathie has assured me that the person providing the information is not required to do the actual writing but provide bullet points which she will then prepare in paragraph form michelle will send a reminder message to the contact person when the updates are needed thank you for your assistance with this project forwarded on pm enron north america corp from kathie grabstald pm to mike mcconnell hou ect ect jeffrey a shankman hou ect ect cc cathy phillips hou ect ect subject newsletter under the direction of mark frevert ena public relations has created a weekly electronic newsletter giving employees the latest news in enron north america industrial markets and global markets with the click of a button our goal is to provide information about recent developments and events from the various business units straight from the source you we need your cooperation and participation since ena egm eim readers want to know more about global markets please help open the door for us by getting your direct reports on board and encouraging them to send us news watch for a weekly reminder email giving upcoming newsletter deadlines if anyone needs assistance formatting business highlights we will help turn their bullet points into paragraphs thank you kathie grabstald and michelle vitrella ena public relations x,7642.
148,list of candidates for election to the board of directors,april notice no to all nymex holdings inc stockholders from donna m talamo director office of the corporate secretary re list of candidates for election to the board of directors of nymex holdings inc please be advised that the office of the corporate secretary has received declarations which qualify the following candidates to run for election to the board of directors of nymex holdings inc the election will be held o n wednesday may equity holder three vacancies terms expiring and cataldo capozza joseph cicchetti steven crystal stephen durante steven errera joel faber gary lapayover stanley levin david lazarus michel marks john moore stephen renov robert sahn sol tanne howard wolfson james zamora futures commission merchant one vacancy term expiring john mcnamara jlmc stanley meierfeld stan peter meyer wim public one vacancy term expiring george burman melvyn falis lee white for your information the candidates forum will be held on wednesday m ay in the board rooms of the exchange a proxy statement s and proxy card s formerly called ballots in connection with the election will be mailed to you on or about may if you have any questions regarding the aforementioned you may contact me at please click on the link below to indicate you have received this email http email email log cfm useremail dtana jones enron com refdo c d note if you click on the above line and nothing happens please copy the text between the quotes open your internet browser paste it into the web site address and press return,11233.
149,trading policy meeting to discuss termination procedures,on wednesday october at a m houston time in conference room ecnc there will be a one hour trading policy meeting to discuss termination procedures call in information is as follows domestic call in number international call in number access code thank you very much sandy haldeman senior administrative assistant to carol st clair enron north america corp smith street eb a houston tx telephone fax number email address sandy haldeman enron com,94.
